Program/Agency Name,Project Name,Sub-Project Name,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,total_10years,Ward Number,Ward,Category
Water Program,TRANSMISSION R&R,RESERVOIR REHAB - PHASE 2 - ENG,378,115,12,0,0,0,0,0,0,0,505,CW,City Wide,State of Good Repair C03
Water Program,TRANSMISSION R&R,DOWNSVIEW PS - Construction,-243,285,0,0,0,0,0,0,0,0,42,CW,City Wide,Growth Related C05
Water Program,TRANSMISSION R&R,PS REHAB - PHASE 2 - ENG,-726,1131,10,0,0,0,0,0,0,0,415,CW,City Wide,State of Good Repair C03
Water Program,WT&S PLANTWIDE,STANDBY POWER - PAHSE 3 - ENG,17,358,287,162,287,216,35,35,35,0,1432,CW,City Wide,Service Improvement and Enhancement C04
Water Program,BUSINESS SYSTEM INFRASTRUCTURE - PW,SCADA UPGRADES FOR WWT - II,1656,740,715,860,500,0,0,0,0,0,4471,CW,City Wide,Service Improvement and Enhancement C04
Water Program,BUSINESS SYSTEM INFRASTRUCTURE - PW,PCS UPGRADES 2017,220,220,220,220,110,0,0,0,0,0,990,CW,City Wide,Service Improvement and Enhancement C04
Water Program,ISLAND W.T.P. R&R,TRAVELLING SCREEN REPLACEMENT,110,700,800,-800,-103,-150,0,0,0,0,557,CW,City Wide,State of Good Repair C03
Water Program,ISLAND W.T.P. R&R,ISLAND PHOTOVOLTAIC SYSTEM,-953,-1109,-6290,5500,3203,1059,75,0,0,0,1485,CW,City Wide,Growth Related C05
Water Program,ISLAND W.T.P. R&R,TRAVELLING SCREEN REPLACEMENT,150,350,1375,5225,2859,356,65,35,0,0,10415,CW,City Wide,State of Good Repair C03
Water Program,METERING & METER READING SYS,AUTOMATED METER READING SYSTEM,1951,1501,1501,1501,1501,1501,1501,1501,1501,0,13959,CW,City Wide,Service Improvement and Enhancement C04
Water Program,DIST W/M REPLACEMENT,WATERMAIN REPLACEMENT - METROLINX,162,-87,-88,175,0,0,0,0,0,0,162,CW,City Wide,State of Good Repair C03
Water Program,DIST W/M REPLACEMENT,2022-2024 WATERMAIN REPLACEMENT,-1592,1410,256,109,40,15,0,0,0,0,238,CW,City Wide,State of Good Repair C03
Water Program,DIST W/M REPLACEMENT,WM REPLACEMENT - SUBWAY EXPANSION,114,68,68,68,68,68,46,0,0,0,500,CW,City Wide,State of Good Repair C03
Water Program,LAWRENCE ALLAN REVITALIZATION PLAN,LAWRENCE ALLAN REVITALIZATION PLAN - EXTERNAL,-9000,0,0,2203,3197,0,0,0,0,0,-3600,CW,City Wide,Growth Related C05
Water Program,ENGINEERING,TESTING - WATER,157,45,0,0,0,0,0,0,0,0,202,CW,City Wide,State of Good Repair C03
Water Program,ENGINEERING,LEGAL SERVICES SALARIES,100,99,529,0,0,0,0,0,0,0,728,CW,City Wide,State of Good Repair C03
Water Program,ENGINEERING,TESTING - WATER,89,-3,0,0,0,0,0,0,0,0,86,CW,City Wide,State of Good Repair C03
Water Program,WT&S PLANTWIDE,STANDBY POWER - PHASE 2 - ENG,515,806,654,681,938,896,415,275,68,0,5248,CW,City Wide,Service Improvement and Enhancement C04
Water Program,WT&S PLANTWIDE,SCRUBBER & TONNER CONNECTION IMPRO AT WTP - CONSTR,393,253,96,0,0,0,0,0,0,0,742,CW,City Wide,Service Improvement and Enhancement C04
Toronto Parking Authority,"Garage Repairs (CP43, CP68, CP58) & Urgent Repairs","Garage Repiars (CP43, CP68, CP58) & Urgent Repairs",4223,0,0,0,0,0,0,0,0,0,4223,CW,City Wide,State of Good Repair C03
Toronto Parking Authority,CP 29 New Elevators,CP 29 New Elevators,0,-350,-975,-875,0,0,0,0,0,0,-2200,12,Toronto-St. Pauls,Service Improvement and Enhancement C04
Toronto Parking Authority,Purolator Installations X4,Purolator Installations X4,120,0,0,0,0,0,0,0,0,0,120,CW,City Wide,Growth Related C05
Toronto Parking Authority,CP 219 (JV) 87 Richmond Street East,CP 219 (JV) 87 Richmond Street East,0,0,-6370,0,5000,0,0,0,0,0,-1370,13,Toronto Centre,Growth Related C05
Toronto Parking Authority,CP 12/CP 223 (JV) 30 Alvin Ave,CP 12/CP 223 (JV) 30 Alvin Ave,-50,-50,-8820,0,8459,0,0,0,0,0,-461,12,Toronto-St. Pauls,Growth Related C05
Toronto Parking Authority,CP43 Garage Modernization,CP43 Garage Modernization,-5760,-8200,-10250,0,0,0,0,0,0,0,-24210,10,Spadina-Fort York,State of Good Repair C03
Toronto Parking Authority,TPA Website Redesign,TPA Website Redesign,300,0,0,0,0,0,0,0,0,0,300,CW,City Wide,Growth Related C05
Toronto Parking Authority,CP 277 Permanent Construction Surface Lot,CP 277 Permanent Construction Surface Lot,326,0,0,0,0,0,0,0,0,0,326,10,Spadina-Fort York,Growth Related C05
Toronto Parking Authority,CP 277 Permanent Construction Surface Lot,CP 277 Permanent Construction Surface Lot,225,0,0,0,0,0,0,0,0,0,225,10,Spadina-Fort York,Growth Related C05
Toronto Parking Authority,Metro Hall,Metro Hall,-900,0,0,0,0,0,0,0,0,0,-900,10,Spadina-Fort York,Growth Related C05
Toronto Parking Authority,Health & Safety Emergency Generators,Health Safety Emergency Generators & Fire Stopping,-350,0,0,0,1000,1000,1000,1000,1000,1000,5650,CW,City Wide,Health and Safety C01
Toronto Parking Authority,Etobicoke Civic Centre,Etobicoke Civic Centre,0,-2,0,0,0,0,0,0,0,0,-2,3,Etobicoke-Lakeshore,Growth Related C05
Toronto Parking Authority,Etobicoke Civic Centre,Etobicoke Civic Centre,21515,0,0,0,0,0,0,0,0,0,21515,3,Etobicoke-Lakeshore,Growth Related C05
Toronto Parking Authority,CP212 / 227 Adelaide and Spadina Re-development,CP212 CP227 (JV) 363 Adelaide and 105 Spadina,-6200,0,0,0,0,0,0,0,0,0,-6200,10,Spadina-Fort York,Growth Related C05
Toronto Parking Authority,Station Refurbishment,Station Refurbishment,-90,-120,0,0,0,0,0,0,0,0,-210,CW,City Wide,State of Good Repair C03
Toronto Parking Authority,Bessarion Community Centre,Acquisition - Bessarion Community Centre,60,0,0,0,-100,0,0,0,0,0,-40,17,Don Valley North,Growth Related C05
Toronto Parking Authority,Green EV the Fleet,Green EV the Fleet,300,400,500,500,0,0,0,0,0,0,1700,CW,City Wide,Service Improvement and Enhancement C04
Toronto Parking Authority,O'Connor on-street integrated EV design and constr,O'Connor on-street integrated EV design and constr,-99,0,0,0,0,0,0,0,0,0,-99,CW,City Wide,Growth Related C05
Toronto Parking Authority,Structural Maint & Tech. Green Plus,Structural Maint. & Tech. Green Plus,-2000,-2000,-2000,-2000,-2000,-2000,-2000,3500,0,0,-10500,CW,City Wide,State of Good Repair C03
Toronto Parking Authority,Wayfinding,Wayfinding,600,800,1000,0,0,0,0,0,0,0,2400,CW,City Wide,Service Improvement and Enhancement C04
Office of the Controller,Financial Systems Transformation,Financial Systems Transformation,0,0,0,0,0,0,0,0,0,0,0,CW,City Wide,Service Improvement and Enhancement C04
Office of the Controller,Tax Billing System Replacement 2028,Tax Billing System Replacement 2028,0,0,0,0,1775,2000,200,0,0,0,3975,CW,City Wide,State of Good Repair C03
Office of the Controller,Supply Chain Management Transformation,Supply Chain Management Transformation (SCMT 1),2000,0,0,0,0,0,0,0,0,0,2000,CW,City Wide,Service Improvement and Enhancement C04
Office of the Controller,Payroll Platform Assessment,Payroll Platform Assessment - Scope change,-482,0,0,0,0,0,0,0,0,0,-482,CW,City Wide,Service Improvement and Enhancement C04
Economic Development & Culture,Major Maintenance,Berkley Theatre Capital Maintenance- FY,0,200,250,0,300,300,0,200,300,0,1550,13,Toronto Centre,State of Good Repair C03
Economic Development & Culture,Streetscape Master Plan Program,2025-2033 Streetscape Master Plan Program,0,100,100,100,100,100,100,100,100,100,900,CW,City Wide,Service Improvement and Enhancement C04
Economic Development & Culture,Refurbishment and Rehabilitation,Zion Schoolhouse Interiors -  FY,0,0,0,0,0,0,500,0,0,0,500,17,Don Valley North,State of Good Repair C03
Economic Development & Culture,Major Maintenance,Young People's Theatre - FY,0,0,0,100,200,200,400,0,0,0,900,13,Toronto Centre,State of Good Repair C03
Economic Development & Culture,Major Maintenance,Alumnae Theatre - FY,0,0,0,0,296,700,200,0,300,500,1996,13,Toronto Centre,State of Good Repair C03
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Outdoor RC Improvements,0,0,0,0,500,500,500,500,500,500,3000,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Arena,FMP Don Mills Community Recreation Facility-Const,0,0,0,20000,35000,35000,35000,3422,0,0,128422,16,Don Valley East,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Community Centres,FMP-Newtonbrook CC Development,0,10000,0,0,0,0,0,0,0,0,10000,18,Willowdale,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP Basketball Full Court,0,15,285,0,0,0,0,0,0,0,300,16,Don Valley East,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Bike Park (1) Scarborough,0,0,55,885,0,0,0,0,0,0,940,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,FMP-Main Square CC Redevelopment Design,0,0,0,0,700,2000,2500,450,350,0,6000,19,Beaches-East York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Community Centres,CAMP (SGR) Community Centres,0,0,0,3383,19479,26965,21150,15339,8427,16023,110766,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Community Centres,FMP-Falstaff CC Redevelopment (6) Construction,0,0,0,0,0,0,0,20000,30000,31010,81010,5,York South-Weston,Growth Related C05
"Parks, Forestry & Recreation",Community Centres,FMP-SW Scarborough CRC (2) Design,0,0,0,0,0,0,500,1750,3000,1250,6500,20,Scarborough Southwest,Growth Related C05
"Parks, Forestry & Recreation",Trails & Pathways,Critical SOGR to Maintain Service,0,0,0,0,0,0,0,0,1506,0,1506,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Park Development,Various Parks - Parks Rehabilitation,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,45000,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 6 Splash Pad (6),0,0,0,0,75,1350,50,0,0,0,1475,6,York Centre,Growth Related C05
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Splash Pad (8),0,0,0,0,0,0,90,1400,60,0,1550,2,Etobicoke Centre,Growth Related C05
Economic Development & Culture,BIA Financed Funding FF,2025-2033 BIA Financed Funding,0,2000,2000,2000,2000,2000,2000,2000,2000,2000,18000,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Special Facilities,CAMP (SGR) SF Building & Structures,0,0,0,1286,4892,2836,14175,5274,7134,7273,42870,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Facility Components,Critical Imminent Service Disruption,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,45000,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Facility Components,Investigation & Pre-Engineering SI&G,0,0,275,275,275,500,500,500,500,500,3325,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Facility Components,Various Bldgs-Facility Rehabilitation,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,45000,CW,City Wide,State of Good Repair C03
Economic Development & Culture,Restoration/Preservation of Heritage Elements,Zion Church - FY,0,0,0,0,250,0,0,250,150,300,950,17,Don Valley North,State of Good Repair C03
Economic Development & Culture,Restoration/Preservation of Heritage Elements,Gibson House Restoration - FY,0,0,0,0,0,0,600,0,300,300,1200,18,Willowdale,State of Good Repair C03
"Parks, Forestry & Recreation",Parking Lots and Tennis Courts,"CAMP(SGR) Parking Lots, Tennis Courts &Sports Pads",0,0,0,0,12492,15413,6920,15033,16636,15281,81775,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Parking Lots and Tennis Courts,FMP-Tennis Court Complex WO Lights (3),0,0,0,0,0,0,45,665,0,0,710,CW,City Wide,Growth Related C05
Children's Services,EarlyON 150 Queens Wharf Road,EarlyON 150 Queen Wharf Road,0,150,500,1000,529,0,0,0,0,0,2179,10,Spadina-Fort York,Growth Related C05
Children's Services,North East Scarborough RC Childcare Ctr,North East Scarborough RC 2021 IY_1,780,720,0,0,0,0,0,0,0,0,1500,25,Scarborough-Rouge Park,Service Improvement and Enhancement C04
Housing Secretariat,Housing Now,Housing Now Capital,538,0,0,0,0,0,0,0,0,0,538,CW,City Wide,Growth Related C05
Seniors Services and Long-Term Care,SPIF Community Parkland,SPIF Community Parkland - Kipling Acres,222.09,222.09,0,0,0,0,0,0,0,0,444.18,1,Etobicoke North,State of Good Repair C03
Toronto Shelter and Support Services,Addition of 1000 New Shelter Beds-2018 to 2020,New Emergency Shelters (1000 Shelter Beds)-Site 1,1500,2717,0,0,0,0,0,0,0,0,4217,CW,City Wide,Service Improvement and Enhancement C04
Children's Services,David and Mary Thomson (Child Care Centre 7),David and Mary Thomson (CCC 7) 2024 AddL Funding,0,0,0,3705,0,0,0,0,0,0,3705,21,Scarborough Centre,Service Improvement and Enhancement C04
Children's Services,St. Roch Catholic School,St Roch Additional Funding 2020,0,335,0,0,0,0,0,0,0,0,335,7,Humber River-Black Creek,Service Improvement and Enhancement C04
Children's Services,Alexandra Park Child Care Centre,Alexandra Park Child Care Centre,234,0,0,0,0,0,0,0,0,0,234,10,Spadina-Fort York,Service Improvement and Enhancement C04
Children's Services,St. Bartholomew Catholic School,St Bartholomew Additional Funding 2020,212,588,0,0,0,0,0,0,0,0,800,23,Scarborough-North,Service Improvement and Enhancement C04
Children's Services,Anishnawbe Miziwe Biik Child Care Centre,Anishnawbe Miziwe Biik Child Care Centre,0,1809,0,0,0,0,0,0,0,0,1809,13,Toronto Centre,Service Improvement and Enhancement C04
Children's Services,Wallace Emerson Child Care Centre,Wallace Emerson Child Care Centre,0,510,0,0,0,0,0,0,0,0,510,9,Davenport,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Land Acquisition,Acquisition of Land in Vicinity of 1500 St. Clair,0,600,0,0,0,0,0,0,0,0,600,9,Davenport,Growth Related C05
Toronto Paramedic Services,Radio Infrastructure for Portable Coverage,Dispatch Console Replacement - 2022-2024,150,0,0,0,0,0,0,0,0,0,150,CW,City Wide,State of Good Repair C03
Toronto Paramedic Services,Medical Equipment Replacement Program,Medical Equipment Replacement - 2024,1000,0,0,0,0,0,0,0,0,0,1000,CW,City Wide,State of Good Repair C03
Toronto Paramedic Services,Multi-Function Station #3,MF#3 (FACILITY) - 610 Bay St (Phase 1),1000,0,0,0,0,0,0,0,0,0,1000,11,University-Rosedale,Growth Related C05
Toronto Paramedic Services,Multi-Function Station #3,MF#3 (FACILITY)-610 Bay St (Phase 1) - Adjustment,-1000,0,0,0,0,0,0,0,0,0,-1000,11,University-Rosedale,Growth Related C05
Toronto Paramedic Services,Future Strategic Staging Locations (F-SSL),Future Strategic Staging Locations (F-SSL)-Change,100,250,250,0,0,0,0,0,0,0,600,CW,City Wide,Service Improvement and Enhancement C04
Fire Services,Fire Prevention Technology Integration,Fire Prevention Technology Integration,0,0,0,0,0,0,0,0,0,0,0,CW,City Wide,Service Improvement and Enhancement C04
Fire Services,Bunker Suit Washer/ Extractor Installations,PPE Decontamination Equipment-Phase 2,538,405,0,0,0,0,0,0,0,0,943,CW,City Wide,Health and Safety C01
Fire Services,Emergency Medical Bags,Emergency Medical Bags,175,0,0,0,0,0,0,0,0,0,175,CW,City Wide,Health and Safety C01
"Parks, Forestry & Recreation",Community Centres,Oriole CC Gymnasium Addition,166,0,0,0,0,0,0,0,0,0,166,17,Don Valley North,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Special Facilities,High Pk Forestry School Building Phase 2 S37,1672,720,0,0,0,0,0,0,0,0,2392,4,Parkdale-High Park,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,1500 St. Clair Avenue West - New Park Development,0,60,940,0,0,0,0,0,0,0,1000,9,Davenport,Growth Related C05
"Parks, Forestry & Recreation",Park Development,15 Wellesley Street East - Park Development,0,1000,3500,0,0,0,0,0,0,0,4500,13,Toronto Centre,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Edwards Gardens Improvements,0,3700,0,0,0,0,0,0,0,0,3700,15,Don Valley West,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Corktown Parks - Additional Funding S42,1562,438,0,0,0,0,0,0,0,0,2000,13,Toronto Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Cricket Pitch (2) Centennial Park,0,935,0,0,0,0,0,0,0,0,935,2,Etobicoke Centre,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Mini-Soccer Field (1),45,0,0,0,0,0,0,0,0,0,45,1,Etobicoke North,Growth Related C05
"Parks, Forestry & Recreation",Environmental Initiatives,Green Line - Construction,0,300,0,0,0,0,0,0,0,0,300,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Ward 19 - Splash Pad Upgrade,156,596,0,0,0,0,0,0,0,0,752,19,Beaches-East York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Playgrounds/Waterplay,FMP-Ward 24 Splash Pad #2 (Scarborough Village),0,360,0,0,0,0,0,0,0,0,360,24,Scarborough-Guildwood,Growth Related C05
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Alderwood Memorial Park Playground S37/S42,51,0,0,0,0,0,0,0,0,0,51,3,Etobicoke-Lakeshore,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Topham Park Wading Pool Conversion,0,550,0,0,0,0,0,0,0,0,550,19,Beaches-East York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Playgrounds/Waterplay,Dr. Daniel Hill Pk Splash Pad & Pathway Improve,20,1000,65,0,0,0,0,0,0,0,1085,16,Don Valley East,Growth Related C05
"Parks, Forestry & Recreation",Information Technology,IT-Operational Modernization,0,1165,2427,0,0,0,0,0,0,0,3592,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Information Technology,"IT-Registration, Permitting & Licensing CLASS CoS",1409,11546,2285,0,0,0,0,0,0,0,15240,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Information Technology,IT-Digital Signage,200,600,800,400,0,0,0,0,0,0,2000,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Arena,CAMP (SGR) Arenas,4033,0,0,0,0,0,0,0,0,0,4033,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Trails & Pathways,Green Line Design & Construction,0,800,0,0,0,0,0,0,0,0,800,9,Davenport,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Trails & Pathways,"CAMP (SGR) Trails, Pathways & Bridges",0,571,0,0,0,0,0,0,0,0,571,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Former Ward 3 Baseball Improvements S42(Glen Agar),144,0,0,0,0,0,0,0,0,0,144,2,Etobicoke Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Basketball Full Court - Stephen Leacock Park,0,142,0,0,0,0,0,0,0,0,142,22,Scarborough-Agincourt,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Basketball Full Court - Stephen Leacock Park,0,16,0,0,0,0,0,0,0,0,16,22,Scarborough-Agincourt,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,Sports Fields Program,0,1000,0,0,0,0,0,0,0,0,1000,CW,City Wide,State of Good Repair C03
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP Basketball Full Court,0,6,0,0,0,0,0,0,0,0,6,19,Beaches-East York,Growth Related C05
"Parks, Forestry & Recreation",Outdoor Recreation Centres,FMP-Sports Bubble Stadium Site (1),0,1270,0,0,0,0,0,0,0,0,1270,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Midtown (Yonge-Eglinton) Park Improvements,0,500,2000,450,0,0,0,0,0,0,2950,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Yonge Street Linear Parks Improvement S42,900,0,0,0,0,0,0,0,0,0,900,13,Toronto Centre,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,10 Ordnance Street Development - Construction S42,0,900,0,0,0,0,0,0,0,0,900,10,Spadina-Fort York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Bob Acton Park Improvements S42,30,0,0,0,0,0,0,0,0,0,30,19,Beaches-East York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Ward 17 Participatory Budget Henry Farms S37,370,0,0,0,0,0,0,0,0,0,370,17,Don Valley North,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Parks Plan FY2018,100,0,0,0,0,0,0,0,0,0,100,CW,City Wide,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Facilities Master Plan Implementation Planning,0,0,360,0,0,0,0,0,0,0,360,CW,City Wide,Growth Related C05
"Parks, Forestry & Recreation",Park Development,Toronto Island Park Implementation Phase 1,0,2500,2850,0,0,0,0,0,0,0,5350,10,Spadina-Fort York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,318 Queens Quay W/Rees Pk Development Construction,331,2000,0,0,0,0,0,0,0,0,2331,10,Spadina-Fort York,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Glasgow St Parkette Ph. 2 Cecil CC Improvements,0,375,0,0,0,0,0,0,0,0,375,11,University-Rosedale,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Lawrence Heights Ph1a-Baycrest Additional Funds,900,0,0,0,0,0,0,0,0,0,900,8,Eglinton-Lawrence,Service Improvement and Enhancement C04
"Parks, Forestry & Recreation",Park Development,Wallace Emerson (Galleria) Park & Fieldhouse Ph 1,0,3698,0,0,0,0,0,0,0,0,3698,9,Davenport,Growth Related C05
"Parks, Forestry & Recreation",Park Development,705 Progress Avenue - Ph 1 Park Development,0,0,0,0,0,90,1419,0,0,0,1509,24,Scarborough-Guildwood,Service Improvement and Enhancement C04
